Kennziffer;Raumeinheit;Aggregat;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung
"07233";"Vulkaneifel";"Landkreis";"81,2";"82,7";"79,6";"77,5";"70,0";"70,3";"76,9"
"07235";"Trier-Saarburg";"Landkreis";"83,5";"84,6";"80,8";"79,1";"73,7";"73,7";"80,3"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"80,0";"81,8";"77,6";"74,6";"67,4";"67,3";"72,5"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"75,3";"76,6";"71,8";"70,2";"63,4";"64,2";"70,3"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"79,4";"80,3";"77,5";"74,8";"68,1";"69,9";"76,9"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"78,9";"80,6";"75,3";"73,0";"64,8";"65,9";"69,0"
"07315";"Mainz, Stadt";"krsfr. Stadt";"80,9";"82,7";"80,4";"79,0";"74,2";"74,6";"80,2"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"81,8";"82,6";"80,1";"78,0";"71,6";"73,1";"77,8"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"73,0";"76,0";"70,2";"69,4";"61,6";"62,0";"67,1"
"07318";"Speyer, Stadt";"krsfr. Stadt";"78,7";"80,7";"77,6";"74,7";"68,3";"70,4";"75,4"
"07319";"Worms, Stadt";"krsfr. Stadt";"76,3";"78,7";"73,7";"71,4";"64,5";"66,4";"72,3"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"77,8";"80,3";"74,0";"71,0";"65,5";"63,8";"70,5"
"07331";"Alzey-Worms";"Landkreis";"82,7";"84,3";"80,8";"79,2";"73,0";"73,1";"79,7"
"07332";"Bad Dürkheim";"Landkreis";"83,3";"84,5";"81,2";"80,2";"74,5";"74,3";"80,3"
"07333";"Donnersbergkreis";"Landkreis";"80,8";"82,2";"77,1";"75,9";"69,4";"69,7";"75,1"
"07334";"Germersheim";"Landkreis";"82,8";"84,3";"80,2";"77,9";"70,7";"71,2";"77,5"
"07335";"Kaiserslautern";"Landkreis";"82,1";"82,7";"79,1";"77,7";"70,6";"71,5";"75,8"
"07336";"Kusel";"Landkreis";"80,9";"82,2";"76,6";"75,8";"70,4";"71,0";"75,8"
"07337";"Südliche Weinstraße";"Landkreis";"83,7";"84,4";"81,7";"79,5";"73,6";"73,9";"79,8"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"85,9";"87,6";"83,7";"82,5";"75,6";"77,0";"80,9"
"07339";"Mainz-Bingen";"Landkreis";"84,1";"85,3";"82,9";"81,5";"76,2";"77,4";"81,9"
"07340";"Südwestpfalz";"Landkreis";"84,0";"84,8";"80,6";"79,4";"73,8";"74,3";"79,1"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"79,7";"82,2";"80,2";"78,2";"73,6";"76,0";"79,1"
"08115";"Böblingen";"Landkreis";"81,4";"84,3";"82,6";"80,6";"74,6";"76,6";"79,5"
"08116";"Esslingen";"Landkreis";"81,7";"84,6";"82,9";"80,9";"75,0";"77,0";"80,1"
"08117";"Göppingen";"Landkreis";"78,7";"82,1";"80,3";"77,4";"70,9";"73,2";"76,2"
"08118";"Ludwigsburg";"Landkreis";"81,1";"84,2";"82,9";"80,3";"74,7";"76,9";"79,9"
"08119";"Rems-Murr-Kreis";"Landkreis";"79,5";"82,9";"81,3";"79,3";"72,9";"75,7";"78,7"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"76,9";"80,0";"76,3";"72,8";"66,0";"67,7";"72,0"
"08125";"Heilbronn";"Landkreis";"78,7";"83,1";"81,2";"78,3";"72,0";"74,2";"78,5"
"08126";"Hohenlohekreis";"Landkreis";"77,7";"81,6";"79,2";"75,8";"69,4";"71,4";"76,4"
"08127";"Schwäbisch Hall";"Landkreis";"75,9";"79,9";"75,8";"72,3";"67,2";"68,6";"74,5"
"08128";"Main-Tauber-Kreis";"Landkreis";"78,7";"82,0";"80,4";"77,4";"70,8";"72,9";"77,6"
"08135";"Heidenheim";"Landkreis";"78,4";"81,7";"79,6";"75,8";"69,0";"71,2";"74,9"
"08136";"Ostalbkreis";"Landkreis";"78,5";"81,5";"79,7";"76,4";"70,7";"73,1";"76,5"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"77,2";"81,1";"78,5";"75,6";"70,2";"71,2";"74,9"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"76,7";"79,6";"77,7";"74,9";"70,2";"72,2";"77,0"
"08215";"Karlsruhe";"Landkreis";"80,2";"83,4";"81,2";"78,8";"72,4";"74,4";"78,8"
"08216";"Rastatt";"Landkreis";"76,5";"80,4";"78,3";"74,7";"68,4";"70,1";"75,3"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"80,4";"82,9";"81,1";"78,6";"74,5";"76,1";"81,2"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"75,4";"79,0";"75,0";"72,3";"66,7";"68,4";"72,3"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"78,6";"81,2";"78,9";"75,2";"68,5";"70,7";"75,4"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"82,3";"84,9";"82,5";"80,2";"73,9";"75,0";"79,3"
"08231";"Pforzheim, Stadt";"Landkreis";"74,3";"78,1";"74,4";"70,0";"62,6";"64,0";"68,4"
"08235";"Calw";"Landkreis";"77,9";"82,2";"79,5";"77,3";"71,7";"73,6";"77,2"
"08236";"Enzkreis";"Landkreis";"80,0";"83,6";"81,9";"79,3";"73,0";"75,7";"79,5"
"08237";"Freudenstadt";"Landkreis";"76,0";"80,1";"78,2";"74,9";"69,1";"71,0";"75,8"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"78,9";"81,6";"80,1";"78,4";"73,2";"75,4";"80,4"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"79,4";"82,7";"81,6";"79,8";"73,6";"75,7";"80,0"
"08316";"Emmendingen";"Landkreis";"77,7";"80,8";"80,3";"77,5";"71,1";"73,4";"78,7"
"08317";"Ortenaukreis";"Landkreis";"75,2";"78,0";"77,3";"73,5";"67,3";"68,7";"74,4"
"08325";"Rottweil";"Landkreis";"76,8";"80,5";"78,9";"75,1";"69,1";"71,1";"75,9"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"76,5";"80,9";"78,5";"75,3";"68,1";"70,3";"74,6"
"08327";"Tuttlingen";"Landkreis";"77,9";"81,8";"79,1";"75,7";"68,8";"70,6";"74,7"
"08335";"Konstanz";"Landkreis";"76,9";"80,4";"78,7";"76,6";"69,7";"72,0";"76,7"
"08336";"Lörrach";"Landkreis";"75,6";"79,4";"77,1";"74,5";"66,9";"69,4";"74,6"
"08337";"Waldshut";"Landkreis";"75,2";"79,0";"77,2";"74,1";"67,2";"69,5";"73,9"
"08415";"Reutlingen";"Landkreis";"80,4";"83,0";"80,8";"78,5";"72,2";"74,3";"78,1"
"08416";"Tübingen";"Landkreis";"82,4";"85,1";"83,2";"80,8";"76,6";"78,3";"82,0"
"08417";"Zollernalbkreis";"Landkreis";"76,7";"80,4";"78,3";"74,6";"68,5";"70,4";"74,3"
"08421";"Ulm, Stadt";"krsfr. Stadt";"79,0";"81,9";"80,0";"77,1";"71,4";"73,2";"77,5"
"08425";"Alb-Donau-Kreis";"Landkreis";"80,5";"83,5";"82,3";"79,3";"73,4";"76,0";"79,8"
"08426";"Biberach";"Landkreis";"78,6";"82,0";"80,4";"77,6";"70,7";"73,4";"78,1"
"08435";"Bodenseekreis";"Landkreis";"78,2";"81,4";"81,1";"79,0";"72,6";"74,8";"79,2"
"08436";"Ravensburg";"Landkreis";"77,2";"80,5";"79,8";"76,8";"70,7";"72,7";"77,4"
"08437";"Sigmaringen";"Landkreis";"76,6";"80,4";"79,1";"75,3";"68,5";"71,4";"75,6"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"72,0";"73,2";"74,4";"68,8";"63,1";"61,5";"70,9"
"09162";"München, Stadt";"krsfr. Stadt";"74,3";"77,4";"79,9";"76,3";"72,9";"70,9";"78,2"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"70,3";"72,7";"75,4";"71,3";"64,6";"64,4";"73,7"
"09171";"Altötting";"Landkreis";"75,5";"77,0";"79,9";"74,5";"67,0";"66,1";"74,3"
"09172";"Berchtesgadener Land";"Landkreis";"74,7";"76,9";"80,2";"75,8";"67,4";"66,4";"75,3"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"77,5";"78,6";"83,6";"79,1";"72,4";"71,1";"79,3"
"09174";"Dachau";"Landkreis";"78,1";"80,1";"83,0";"80,2";"74,5";"73,8";"81,1"
